"","Diel_Time","Family_grouped","Percentage"
"118",4,"Puniceicoccaceae",3.26421912981016
"119",4,"Rare Families",27.1088083500177
"120",4,"Rhodobacteraceae",12.2583579212273
"121",4,"Rhodothermaceae",1.48068743367452
"122",4,"Saprospiraceae",5.95815419002813
"123",4,"Sphingomonadaceae",1.8049543170869
"124",4,"Spirochaetaceae",1.09037107533252
"125",4,"Trueperaceae",1.53780283832069
"126",4,"Unknown Family",4.00088913146882
"127",4,"Woeseiaceae",1.16315765409127
"128",5,"A4b",3.11632060670526
"129",5,"Balneolaceae",3.83245213276164
"130",5,"Chromatiaceae",3.16328493229818
"131",5,"Cryomorphaceae",1.64050290408066
"132",5,"Cyclobacteriaceae",3.72462692089991
"133",5,"Desulfocapsaceae",4.71312569518447
"134",5,"Desulfosarcinaceae",1.4475847341148
"135",5,"Desulfovibrionaceae",1.04798985502043
"136",5,"Flavobacteriaceae",4.72841051424796
"137",5,"Halieaceae",4.22951164116234
"138",5,"Marinobacteraceae",1.73495505128721
"139",5,"Phycisphaeraceae",1.39501737943036
"140",5,"Pirellulaceae",4.45671253529556
"141",5,"Puniceicoccaceae",2.93599840770215
"142",5,"Rare Families",31.961839586274
"143",5,"Rhodobacteraceae",10.5989663449821
"144",5,"Rhodothermaceae",1.29306065527201
"145",5,"Sandaracinaceae",1.41020065501017
"146",5,"Saprospiraceae",4.87233829391631
"147",5,"Sphingomonadaceae",1.21187467502599
"148",5,"Spirochaetaceae",1.70678328920078
"149",5,"Unknown Family",3.23331092544886
"150",5,"Woeseiaceae",1.54513226467887
"151",6,"A4b",3.96340432486119
"152",6,"Balneolaceae",4.84159221143707
"153",6,"Chromatiaceae",2.94043915738949
"154",6,"Coleofasciculaceae",1.63919742361015
"155",6,"Cryomorphaceae",1.67958756206294
"156",6,"Cyclobacteriaceae",3.71021973916238
"157",6,"Desulfocapsaceae",3.21414790134084
"158",6,"Flavobacteriaceae",4.18379074694723
"159",6,"Halieaceae",4.36821807172824
"160",6,"Hyphomonadaceae",1.36759485404151
"161",6,"Marinobacteraceae",2.16452488681289
"162",6,"Phormidiaceae",1.30976082155989
"163",6,"Phycisphaeraceae",1.62654715122044
"164",6,"Pirellulaceae",3.62396858178841
"165",6,"Puniceicoccaceae",2.95774255276321
"166",6,"Rare Families",29.8330810778797
"167",6,"Rhodobacteraceae",10.7010666736123
"168",6,"Rhodothermaceae",1.189431325076
"169",6,"Saprospiraceae",5.7670416900668
"170",6,"Sphingomonadaceae",1.97698119922227
"171",6,"Spirochaetaceae",1.19971947246428
"172",6,"Trueperaceae",1.11475687616406
"173",6,"Unknown Family",3.5565227483145
"174",6,"Woeseiaceae",1.0706629504742
