"","OTU","Sample","Abundance","sample_Sample","Description","Site","Sample.Type","Mat","X..Organic.Matter","X..Organic.Carbon","X..Nitrogen","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species","V8"
"785","sq208","E9",0.00506966226566489,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA,NA
"786","sq321","D10",0.00506137219423933,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA,NA
"787","sq11","E12",0.00505958851315295,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae",NA,NA,NA
"788","sq112","D7",0.00501973406905008,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,NA
"789","sq125","E7",0.00501780982791921,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA,NA
"790","sq389","E9",0.00501495368006419,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA,NA
"791","sq83","D1",0.00500176764039648,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,NA,NA
"792","sq134","D9",0.00498675648278343,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA,NA
"793","sq65","D5",0.00498266697480934,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae",NA,NA,NA
"794","sq314","D8",0.00495375156063311,"D8","SB4 3E1","SB","External",3,0.797997922,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geoalkalibacteraceae",NA,NA,NA
"795","sq183","E12",0.00495088641619068,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA,NA
"796","sq405","E11",0.0049462856194782,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Firmicutes","Bacilli","Izemoplasmatales","Izemoplasmataceae",NA,NA,NA
"797","sq210","E1",0.00494272256788975,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"798","sq600","E1",0.00494272256788975,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae",NA,NA,NA
"799","sq637","E12",0.00492124038974643,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA,NA
"800","sq79","D4",0.0048896034094044,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"801","sq1367","D6",0.00488698839340257,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA,NA,NA
"802","sq389","E10",0.00488693225960053,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA,NA
"803","sq6","D11",0.00488600979204421,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Desertifilaceae",NA,NA,NA
"804","sq359","D5",0.00487173561358909,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,NA
"805","sq323","E6",0.00485734197799413,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae",NA,NA,NA
"806","sq321","D7",0.00484091402587781,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA,NA
"807","sq844","E2",0.00483150877622164,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Microbulbiferaceae",NA,NA,NA
"808","sq199","E4",0.00482656911378828,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA,NA
"809","sq79","E11",0.00482185076112655,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"810","sq42","E10",0.00479504122565932,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"811","sq45","E3",0.00478082410512177,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae",NA,NA,NA
"812","sq56","E3",0.00477143152338283,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,NA
"813","sq45","E4",0.00476910995767175,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae",NA,NA,NA
"814","sq343","D11",0.00476586201027264,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",NA,NA,NA
"815","sq37","D3",0.00475443026456471,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",NA,NA,NA
"816","sq97","D12",0.00475184177651166,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA,NA
"817","sq56","E4",0.00474038037961349,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,NA
"818","sq343","D3",0.00473168179439933,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",NA,NA,NA
"819","sq88","E9",0.00471405645926034,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA,NA,NA
"820","sq159","D3",0.00470893332423395,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","BD2-7",NA,NA,NA
"821","sq208","E6",0.00469895039175519,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA,NA
"822","sq97","D2",0.00468941693032866,"D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA,NA
"823","sq171","D6",0.00468670198383689,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","MAT-CR-H6-H10",NA,NA,NA
"824","sq165","E11",0.00466630718818698,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae",NA,NA,NA
"825","sq75","D5",0.00465911717125029,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"826","sq79","D3",0.0046406879137378,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"827","sq11","E3",0.00463993537903764,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae",NA,NA,NA
"828","sq267","E9",0.00461375738565906,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",NA,NA,NA
"829","sq222","D6",0.00460658742001062,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae",NA,NA,NA
"830","sq349","D8",0.00460470673522265,"D8","SB4 3E1","SB","External",3,0.797997922,NA,0,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"831","sq349","E5",0.00459602826557383,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"832","sq466","E1",0.004593824504274,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA,NA,NA
"833","sq210","D5",0.00458516293043679,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"834","sq223","E3",0.00455540214338715,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA,NA,NA
"835","sq210","E10",0.00455278304526887,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"836","sq484","E10",0.00455278304526886,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae",NA,NA,NA
"837","sq349","D10",0.00454789965279476,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"838","sq35","E7",0.00452282278493298,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae",NA,NA,NA
"839","sq1636","D2",0.00451184864725253,"D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA,NA
"840","sq210","E6",0.00450888048826846,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"841","sq104","E3",0.00450843923469244,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae",NA,NA,NA
"842","sq79","D6",0.00450644421522778,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"843","sq418","E12",0.00450619601952685,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","AKAU3564 sediment group",NA,NA,NA
"844","sq1636","D6",0.00449642989474949,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA,NA
"845","sq134","E2",0.00446455874258455,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA,NA
"846","sq45","D4",0.00446152528990401,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae",NA,NA,NA
"847","sq198","D11",0.00445548024069606,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","ML635J-40 aquatic group",NA,NA,NA
"848","sq210","D11",0.00445548024069606,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"849","sq350","D4",0.00445201244280401,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae",NA,NA,NA
"850","sq1636","E10",0.00444418455061108,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA,NA
"851","sq261","E12",0.00443702195782359,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfococcaceae",NA,NA,NA
"852","sq75","D10",0.00443379464358485,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"853","sq75","D7",0.00443218249862692,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"854","sq1046","D4",0.00442347390150398,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae",NA,NA,NA
"855","sq79","E8",0.00441975892224061,"E8","TM3 26E1","TM","External",26,1.169004676,NA,0.034,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"856","sq747","E1",0.00441937547246613,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae",NA,NA,NA
"857","sq161","E2",0.00439116873585713,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
"858","sq309","D3",0.00439045474191861,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","KI89A clade",NA,NA,NA
"859","sq283","D12",0.00435488202122567,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Oxyphotobacteria Incertae Sedis","Unknown Family",NA,NA,NA
"860","sq343","D2",0.00435042293536515,"D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,"Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",NA,NA,NA
"861","sq159","D1",0.00434708601207233,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","BD2-7",NA,NA,NA
"862","sq198","D5",0.00434481164779293,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","ML635J-40 aquatic group",NA,NA,NA
"863","sq161","E1",0.00433215095656219,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
"864","sq296","E6",0.00432937002386433,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Hahellaceae",NA,NA,NA
"865","sq88","E12",0.00432831986086132,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA,NA,NA
"866","sq296","E2",0.00431777872912972,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Hahellaceae",NA,NA,NA
"867","sq65","D4",0.00430931973630388,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae",NA,NA,NA
"868","sq56","E12",0.00430855584323181,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,NA
"869","sq79","D1",0.0042947114818064,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"870","sq610","E9",0.00429462396965497,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA,NA
"871","sq747","D5",0.00427085740697943,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae",NA,NA,NA
"872","sq418","E6",0.00426601338936876,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","AKAU3564 sediment group",NA,NA,NA
"873","sq210","E3",0.00425483952774099,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"874","sq210","D10",0.00425448677196929,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"875","sq359","D6",0.00424607188279239,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,NA
"876","sq267","E1",0.00424492644065825,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",NA,NA,NA
"877","sq65","D6",0.00423605756231411,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae",NA,NA,NA
"878","sq183","E5",0.00423217602788257,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA,NA
"879","sq495","D10",0.00423003569856717,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA,NA,NA
"880","sq359","D7",0.00422781673500147,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,NA
"881","sq1414","D12",0.00422645386510373,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitlerinemaceae",NA,NA,NA
"882","sq45","E1",0.00421585160202361,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae",NA,NA,NA
"883","sq1301","E7",0.00421224267952986,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Modulibacteria","Moduliflexia","Moduliflexales","Moduliflexaceae",NA,NA,NA
"884","sq309","E5",0.00419387579233612,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","KI89A clade",NA,NA,NA
"885","sq614","E10",0.00419357263986233,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,NA
"886","sq66","D7",0.0041894981543217,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,NA,NA
"887","sq560","D4",0.00416662702980375,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae",NA,NA,NA
"888","sq261","D6",0.00416595731896612,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfococcaceae",NA,NA,NA
"889","sq349","E9",0.00415785250565322,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"890","sq49","D10",0.00414853212056009,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae",NA,NA,NA
"891","sq208","E2",0.00414653538009908,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA,NA
"892","sq66","D9",0.00413655537752199,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,NA,NA
"893","sq19","E2",0.00412207204452327,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA
"894","sq167","E9",0.00412138011525275,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,NA,NA
"895","sq343","D1",0.00411140062587564,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",NA,NA,NA
"896","sq83","D12",0.00410970099590197,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,NA,NA
"897","sq1324","E4",0.00410832966233169,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","4572-13",NA,NA,NA
"898","sq97","D4",0.00410003710010369,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA,NA
"899","sq349","E8",0.00408886787993382,"E8","TM3 26E1","TM","External",26,1.169004676,NA,0.034,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"900","sq280","E6",0.00408650292496463,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae",NA,NA,NA
"901","sq159","E3",0.00407638047470108,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","BD2-7",NA,NA,NA
"902","sq159","D4",0.00407149855880366,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","BD2-7",NA,NA,NA
"903","sq112","D9",0.00407115529250188,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,NA
"904","sq75","D12",0.00406299984822127,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"905","sq389","E12",0.00406150562286302,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA,NA
"906","sq23","D12",0.00405132456130109,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae",NA,NA,NA
"907","sq261","E5",0.00404067485015033,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfococcaceae",NA,NA,NA
"908","sq495","D7",0.00403622383160261,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA,NA,NA
"909","sq1373","D10",0.00403442711135019,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA,NA
"910","sq65","D9",0.00403028023936431,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae",NA,NA,NA
"911","sq484","E8",0.00402978019380761,"E8","TM3 26E1","TM","External",26,1.169004676,NA,0.034,FALSE,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae",NA,NA,NA
