"","OTU","Sample","Abundance","sample_Sample","Description","Site","Sample.Type","Mat","X..Organic.Matter","X..Organic.Carbon","X..Nitrogen","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species","V8"
"29","sq5","D9",0.11110656943854,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"30","sq5","E7",0.108110993565168,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"31","sq42","D11",0.107472190794677,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"32","sq5","E8",0.105176081304656,"E8","TM3 26E1","TM","External",26,1.169004676,NA,0.034,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"33","sq10","E9",0.104630169961339,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"34","sq20","D1",0.100428161784924,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"35","sq2","E11",0.100190800116139,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"36","sq2","E9",0.097891895834853,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"37","sq4","E12",0.097011680534419,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"38","sq4","E4",0.0954205052575128,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"39","sq20","D12",0.0916510023233821,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"40","sq46","E1",0.0914985171832296,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"41","sq42","D9",0.0899659919557895,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"42","sq5","D7",0.0879666883805291,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"43","sq5","D11",0.086666599917899,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"44","sq4","D6",0.0832390318154962,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"45","sq20","D9",0.0831889081455806,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"46","sq10","E5",0.0823263563070913,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"47","sq42","D3",0.0816215109533884,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"48","sq112","D5",0.0805823896464063,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,NA
"49","sq5","E11",0.0800842009208179,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"50","sq5","E4",0.0795234720652736,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"51","sq20","D7",0.0791278691037284,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"52","sq42","D2",0.0785578226899981,"D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"53","sq5","E3",0.0781368874862633,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"54","sq4","E6",0.0779392198686406,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"55","sq5","E6",0.0777069122088235,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"56","sq59","E2",0.0774998471041527,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"57","sq10","E3",0.0761832304845633,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"58","sq42","D12",0.0754340287912576,"D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"59","sq46","E5",0.0741492560179245,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"60","sq4","D4",0.0738196934960664,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"61","sq5","E9",0.0731180246553359,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"62","sq2","D10",0.073019055536538,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"63","sq10","D10",0.0717639004352291,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"64","sq59","E6",0.0708221579269709,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"65","sq2","E7",0.0701231644230489,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"66","sq2","D5",0.0688513981973654,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"67","sq4","D2",0.0688319235487828,"D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"68","sq59","D10",0.0676887215348754,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"69","sq4","D1",0.0674125672685373,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"70","sq4","E9",0.0660423809176453,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"71","sq4","D3",0.0658681953638618,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"72","sq5","E10",0.0653011102107646,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"73","sq20","E11",0.0649135177734456,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"74","sq46","E2",0.0640572442052474,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"75","sq10","E6",0.0632193617875019,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"76","sq37","E7",0.0625042462123786,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",NA,NA,NA
"77","sq5","E5",0.0618165801719681,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"78","sq20","D11",0.0609149253581906,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"79","sq20","D8",0.0607337996214206,"D8","SB4 3E1","SB","External",3,0.797997922,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"80","sq1","D2",0.0601795053916188,"D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA,NA
"81","sq4","D5",0.0597272937370002,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"82","sq5","E1",0.0587893237192534,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"83","sq1","D9",0.058582126156764,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA,NA
"84","sq2","D7",0.0583719712355188,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"85","sq10","E2",0.0583328236805088,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"86","sq42","D7",0.0577844196650956,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
